id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,change width,92,72,31,36,301,ship,baseline,monotonic-signal,raise-signal
m002,g002,diagnostic quality,63,34,41,80,132,watch,edge,drag-penalty,drop-slack
m003,g003,review cost,57,34,13,85,259,ship,recovery,confidence-floor,raise-drag
m004,g004,safe rewrite,101,31,11,14,324,ship,negative,lane-boundary,lower-confidence
m005,g005,change width,92,67,36,89,319,ship,baseline,monotonic-signal,raise-signal
m006,g006,diagnostic quality,33,6,8,81,152,watch,edge,drag-penalty,drop-slack
m007,g007,review cost,56,65,23,39,222,ship,recovery,confidence-floor,raise-drag
m008,g008,safe rewrite,115,21,22,52,329,ship,negative,lane-boundary,lower-confidence
m009,g009,change width,113,72,26,40,393,ship,baseline,monotonic-signal,raise-signal
m010,g010,diagnostic quality,58,54,9,75,312,ship,edge,drag-penalty,drop-slack
m011,g011,review cost,38,64,30,54,146,watch,recovery,confidence-floor,raise-drag
m012,g012,safe rewrite,76,66,10,35,345,ship,negative,lane-boundary,lower-confidence
m013,g013,change width,107,34,9,92,436,ship,baseline,monotonic-signal,raise-signal
m014,g014,diagnostic quality,113,45,27,76,370,ship,edge,drag-penalty,drop-slack
m015,g015,review cost,36,34,24,72,128,watch,recovery,confidence-floor,raise-drag
m016,g016,safe rewrite,89,61,13,62,386,ship,negative,lane-boundary,lower-confidence
m017,g017,change width,84,77,13,38,379,ship,baseline,monotonic-signal,raise-signal
m018,g018,diagnostic quality,71,41,35,67,187,ship,edge,drag-penalty,drop-slack
m019,g019,review cost,117,77,13,43,483,ship,recovery,confidence-floor,raise-drag
m020,g020,safe rewrite,55,57,35,22,126,watch,negative,lane-boundary,lower-confidence
m021,g021,change width,81,50,30,79,272,ship,baseline,monotonic-signal,raise-signal
m022,g022,diagnostic quality,40,3,8,84,170,ship,edge,drag-penalty,drop-slack
m023,g023,review cost,115,68,47,26,272,ship,recovery,confidence-floor,raise-drag
m024,g024,safe rewrite,112,63,16,75,457,ship,negative,lane-boundary,lower-confidence
m025,g025,change width,123,27,26,80,373,ship,baseline,monotonic-signal,raise-signal
m026,g026,diagnostic quality,31,36,33,38,38,hold,edge,drag-penalty,drop-slack
m027,g027,review cost,37,25,45,64,0,hold,recovery,confidence-floor,raise-drag
m028,g028,safe rewrite,87,51,21,26,284,ship,negative,lane-boundary,lower-confidence
m029,g029,change width,81,67,35,74,276,ship,baseline,monotonic-signal,raise-signal
m030,g030,diagnostic quality,68,66,43,53,174,ship,edge,drag-penalty,drop-slack
m031,g031,review cost,69,50,14,47,284,ship,recovery,confidence-floor,raise-drag
m032,g032,safe rewrite,36,39,11,78,209,ship,negative,lane-boundary,lower-confidence
m033,g033,change width,113,36,36,75,306,ship,baseline,monotonic-signal,raise-signal
m034,g034,diagnostic quality,98,61,8,71,447,ship,edge,drag-penalty,drop-slack
m035,g035,review cost,54,22,44,74,60,hold,recovery,confidence-floor,raise-drag
m036,g036,safe rewrite,36,70,36,24,92,hold,negative,lane-boundary,lower-confidence
m037,g037,change width,83,26,12,66,307,ship,baseline,monotonic-signal,raise-signal
m038,g038,diagnostic quality,97,66,44,42,245,ship,edge,drag-penalty,drop-slack
m039,g039,review cost,68,70,47,34,143,watch,recovery,confidence-floor,raise-drag
m040,g040,safe rewrite,57,69,40,65,174,ship,negative,lane-boundary,lower-confidence
m041,g041,change width,108,71,20,83,449,ship,baseline,monotonic-signal,raise-signal
m042,g042,diagnostic quality,79,28,33,25,153,watch,edge,drag-penalty,drop-slack
m043,g043,review cost,117,61,27,87,425,ship,recovery,confidence-floor,raise-drag
m044,g044,safe rewrite,51,39,15,66,222,ship,negative,lane-boundary,lower-confidence
m045,g045,change width,75,66,35,37,219,ship,baseline,monotonic-signal,raise-signal
m046,g046,diagnostic quality,77,1,25,63,171,ship,edge,drag-penalty,drop-slack
m047,g047,review cost,42,57,50,38,28,hold,recovery,confidence-floor,raise-drag
m048,g048,safe rewrite,116,12,11,60,377,ship,negative,lane-boundary,lower-confidence
m049,g049,change width,121,62,18,52,449,ship,baseline,monotonic-signal,raise-signal
m050,g050,diagnostic quality,70,44,23,46,229,ship,edge,drag-penalty,drop-slack
m051,g051,review cost,96,19,13,90,351,ship,recovery,confidence-floor,raise-drag
m052,g052,safe rewrite,113,73,20,61,446,ship,negative,lane-boundary,lower-confidence
m053,g053,change width,90,68,28,70,336,ship,baseline,monotonic-signal,raise-signal
m054,g054,diagnostic quality,68,21,34,73,149,watch,edge,drag-penalty,drop-slack
m055,g055,review cost,65,52,45,36,110,watch,recovery,confidence-floor,raise-drag
m056,g056,safe rewrite,67,30,21,52,208,ship,negative,lane-boundary,lower-confidence
m057,g057,change width,81,56,35,41,221,ship,baseline,monotonic-signal,raise-signal
m058,g058,diagnostic quality,78,61,22,33,279,ship,edge,drag-penalty,drop-slack
m059,g059,review cost,40,12,28,77,81,hold,recovery,confidence-floor,raise-drag
m060,g060,safe rewrite,113,55,39,69,323,ship,negative,lane-boundary,lower-confidence
m061,g061,change width,118,44,29,24,321,ship,baseline,monotonic-signal,raise-signal
m062,g062,diagnostic quality,110,30,25,86,351,ship,edge,drag-penalty,drop-slack
m063,g063,review cost,77,77,32,78,303,ship,recovery,confidence-floor,raise-drag
m064,g064,safe rewrite,57,27,5,23,223,ship,negative,lane-boundary,lower-confidence
m065,g065,change width,60,75,18,62,302,ship,baseline,monotonic-signal,raise-signal
m066,g066,diagnostic quality,95,20,5,37,337,ship,edge,drag-penalty,drop-slack
m067,g067,review cost,77,12,49,72,82,hold,recovery,confidence-floor,raise-drag
m068,g068,safe rewrite,115,75,20,38,433,ship,negative,lane-boundary,lower-confidence
m069,g069,change width,59,74,10,45,320,ship,baseline,monotonic-signal,raise-signal
m070,g070,diagnostic quality,109,65,28,89,406,ship,edge,drag-penalty,drop-slack
m071,g071,review cost,98,44,45,73,230,ship,recovery,confidence-floor,raise-drag
m072,g072,safe rewrite,52,66,45,56,119,watch,negative,lane-boundary,lower-confidence
m073,g073,change width,41,44,8,72,243,ship,baseline,monotonic-signal,raise-signal
m074,g074,diagnostic quality,70,60,33,35,200,ship,edge,drag-penalty,drop-slack
m075,g075,review cost,92,17,12,64,314,ship,recovery,confidence-floor,raise-drag
m076,g076,safe rewrite,107,62,13,27,407,ship,negative,lane-boundary,lower-confidence
m077,g077,change width,39,17,19,32,88,hold,baseline,monotonic-signal,raise-signal
m078,g078,diagnostic quality,83,56,23,76,322,ship,edge,drag-penalty,drop-slack
m079,g079,review cost,69,60,13,81,343,ship,recovery,confidence-floor,raise-drag
m080,g080,safe rewrite,65,24,20,10,153,watch,negative,lane-boundary,lower-confidence
m081,g081,change width,120,8,7,85,426,ship,baseline,monotonic-signal,raise-signal
m082,g082,diagnostic quality,49,62,6,77,318,ship,edge,drag-penalty,drop-slack
m083,g083,review cost,66,37,31,35,152,watch,recovery,confidence-floor,raise-drag
m084,g084,safe rewrite,34,57,14,48,194,ship,negative,lane-boundary,lower-confidence
m085,g085,change width,118,35,10,36,410,ship,baseline,monotonic-signal,raise-signal
m086,g086,diagnostic quality,106,50,10,71,439,ship,edge,drag-penalty,drop-slack
m087,g087,review cost,108,77,39,50,333,ship,recovery,confidence-floor,raise-drag
m088,g088,safe rewrite,113,17,45,31,179,ship,negative,lane-boundary,lower-confidence
m089,g089,change width,40,60,32,88,168,ship,baseline,monotonic-signal,raise-signal
m090,g090,diagnostic quality,81,38,27,72,256,ship,edge,drag-penalty,drop-slack
m091,g091,review cost,66,46,12,68,298,ship,recovery,confidence-floor,raise-drag
